town_code,town,lat,long,district,district_lat,district_long,region,regional_city,region_lat,region_long,population_density,area,population,distance_town_district,drive_town_district,distance_town_region,drive_town_region
519260,Hrabské,49.34145145,21.07724293,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,55.34,"10,905,131",604,19.1,24,56.2,64
519278,Hutka,49.3986095,21.4289498,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,26.53,"3,694,367",98,20.4,24,61,67
519294,Janovce,49.18374205,21.30490696,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,83.04,"5,551,270",461,15,17,26.7,29
519308,Jedlinka,49.3986241,21.3708202,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,18.75,"4,559,809",86,16.8,21,57.4,64
519324,Kľušov,49.246556,21.2594916,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,72.74,"15,363,154",1118,6.6,9,35.2,38
519341,Kobyly,49.21994605,21.29775909,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,69.35,"12,458,379",864,11,14,31.4,35
519359,Kochanovce - Bardejov,49.1886516,21.37241587,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,47.59,"5,526,615",263,18.6,29,36.6,46
519367,Komárov,49.2811953,21.3498978,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,55.74,"7,992,382",446,8.4,13,49,57
519375,Koprivnica,49.1563934,21.3953283,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,46.87,"14,157,344",664,27.2,34,30.8,37
519383,Kožany,49.2166667,21.5,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,19.71,"5,201,303",103,23,35,43.7,51
519405,Krivé,49.29303905,21.1523062,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,40.18,"5,276,900",212,14.2,17,45.6,49
